"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8485","should not proceed when Address is empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","3719","should log in with valid credentials","shopping","2026-09-24","passed","2026-09-24","","","",""
"","8951","should not proceed when Email is empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","8641","should not proceed when State is empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","14875","should update item quantity in cart with kids items after removing item from cart","shopping","2026-09-24","passed","2026-09-24","","","",""
"","9125","should reject invalid email format","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","10998","should display cart items","shopping","2026-09-24","passed","2026-09-24","","","",""
"","6689","should verify all checkout form fields are visible","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","13337","select kids wear from dropdown","shopping","2026-09-24","failed","2026-09-24","","","",""
"","9440","should produce unique data across multiple runs","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","2338","should validate empty username fields","login test","2026-09-24","passed","2026-09-24","","","",""
"","3038","Verify invalid password validation","login test","2026-09-24","passed","2026-09-24","","","",""
"","8480","should not proceed when City is empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","13348","should verify dropdown functionality (negative: non-functional dropdown options)","shopping","2026-09-24","failed","2026-09-24","","","",""
"","5750","should add blue sports shoes to the cart","shopping","2026-09-24","passed","2026-09-24","","","",""
"","6297","should add skirt and Top For Kids to the cart","shopping","2026-09-24","passed","2026-09-24","","","",""
"","13553","shop navigation link","shopping","2026-09-24","failed","2026-09-24","","","",""
"","8605","should not proceed with a mobile number that is too short","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","3770","should log in with valid credentials","shopping","2026-09-24","passed","2026-09-24","","","",""
"","9572","should submit billing address without middle name (optional field)","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","6090","should add crocks for kids to the cart","shopping","2026-09-24","passed","2026-09-24","","","",""
"","8601","should not proceed when Pin Code is empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","3258","should log in with valid credentials","login test","2026-09-24","passed","2026-09-24","","","",""
"","13346","shop navigation link","shopping","2026-09-24","failed","2026-09-24","","","",""
"","13567","select mens wear from dropdown","shopping","2026-09-24","failed","2026-09-24","","","",""
"","1076","should validate empty password fields","login test","2026-09-24","passed","2026-09-24","","","",""
"","5819","should add men fashion green pant to the cart","shopping","2026-09-24","passed","2026-09-24","","","",""
"","8701","should proceed to checkout from cart","shopping","2026-09-24","passed","2026-09-24","","","",""
"","8853","should not proceed when Last Name is empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","13444","should verify correct redirection on navigation (negative: incorrect redirection)","shopping","2026-09-24","failed","2026-09-24","","","",""
"","7636","should handle all required fields empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","2867","Verify invalid username validation","login test","2026-09-24","passed","2026-09-24","","","",""
"","8666","should not proceed when First Name is empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","6421","should verify checkout page heading and labels exist","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","10501","should submit billing address with valid random data","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","8679","should not proceed with non-numeric pin code","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","8859","should not proceed when Mobile number is empty","Checkout Page Tests","2026-09-24","passed","2026-09-24","","","",""
"","13328","should verify menu items are present (negative: missing menu items)","shopping","2026-09-24","failed","2026-09-24","","","",""
"","12031","should remove item from cart","shopping","2026-09-24","passed","2026-09-24","","","",""
